Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,weather
Monday,2,2/29/2016,"5,734","4,224",sun
Tuesday,3,3/1/2016,"6,214","4,474",rain
Wednesday,4,3/2/2016,"5,906","4,333",sun
Thursday,5,3/3/2016,"5,814","4,191",rain
Friday,6,3/4/2016,"4,507","3,188",rain
Saturday,7,3/5/2016,"2,859","2,064",sun
Sunday,1,3/6/2016,"3,897","2,806",rain
Monday,2,3/7/2016,"5,849","4,240",rain
Tuesday,3,3/8/2016,"6,264","4,526",rain
Wednesday,4,3/9/2016,"6,062","4,404",rain
Thursday,5,3/10/2016,"5,685","4,159",rain
Friday,6,3/11/2016,"4,391","3,241",sun
Saturday,7,3/12/2016,"2,880","2,046",sun
Sunday,1,3/13/2016,"3,740","2,673",sun
Monday,2,3/14/2016,"5,710","4,261",sun
Tuesday,3,3/15/2016,"5,168","3,778",sun
Wednesday,4,3/16/2016,"5,577","4,062",sun
Thursday,5,3/17/2016,"5,238","3,827",fog
Friday,6,3/18/2016,"3,931","2,871",sun
Saturday,7,3/19/2016,"2,606","1,892",sun
Sunday,1,3/20/2016,"3,149","2,410",sun
Monday,2,3/21/2016,"5,565","3,968",sun
Tuesday,3,3/22/2016,"5,281","3,770",sun
Wednesday,4,3/23/2016,"5,202","3,780",sun
Thursday,5,3/24/2016,"4,581","3,203",sun
Friday,6,3/25/2016,"3,264","2,281",sun
Saturday,7,3/26/2016,"2,344","1,759",sun
Sunday,1,3/27/2016,"3,112","2,311",sun
Monday,2,3/28/2016,"5,051","3,655",sun
Tuesday,3,3/29/2016,"5,333","3,944",sun
Wednesday,4,3/30/2016,"5,671","4,078",sun
Thursday,5,3/31/2016,"5,097","3,707",sun
Friday,6,4/1/2016,"4,555","2,971",sun
Saturday,7,4/2/2016,"2,987","2,129",sun
Sunday,1,4/3/2016,"4,257","2,964",sun
Monday,2,4/4/2016,"5,804","4,216",fog
Tuesday,3,4/5/2016,"5,885","4,379",sun
Wednesday,4,4/6/2016,"6,054","4,293",sun
Thursday,5,4/7/2016,"5,791","4,147",sun
Friday,6,4/8/2016,"4,741","3,430",sun
Saturday,7,4/9/2016,"2,946","2,140",sun
Sunday,1,4/10/2016,"4,071","2,864",fog
Monday,2,4/11/2016,"6,265","4,503",sun
Tuesday,3,4/12/2016,"6,298","4,626",sun
Wednesday,4,4/13/2016,"6,495","4,628",sun
Thursday,5,4/14/2016,"5,536","4,189",sun
Friday,6,4/15/2016,"4,737","3,447",rain
Saturday,7,4/16/2016,"3,232","2,333",fog
Sunday,1,4/17/2016,"4,201","3,093",sun
Monday,2,4/18/2016,"6,806","4,769",sun
Tuesday,3,4/19/2016,"6,769","4,817",sun
Wednesday,4,4/20/2016,"6,581","4,824",sun
Thursday,5,4/21/2016,"6,254","4,537",sun
Friday,6,4/22/2016,"5,163","3,685",sun
Saturday,7,4/23/2016,"3,851","2,595",rain
Sunday,1,4/24/2016,"4,695","3,386",sun
Monday,2,4/25/2016,"7,098","5,224",sun
Tuesday,3,4/26/2016,"7,156","5,392",sun
Wednesday,4,4/27/2016,"6,836","5,056",rain
Thursday,5,4/28/2016,"6,329","4,724",rain
Friday,6,4/29/2016,"4,990","3,608",fog
Saturday,7,4/30/2016,"3,536","2,489",sun
Sunday,1,5/1/2016,"4,366","3,236",sun
Monday,2,5/2/2016,"6,510","4,786",sun
Tuesday,3,5/3/2016,"6,855","4,962",sun
Wednesday,4,5/4/2016,"6,599","4,651",sun
Thursday,5,5/5/2016,"5,510","4,105",sun
Friday,6,5/6/2016,"4,549","3,245",sun
Saturday,7,5/7/2016,"3,064","2,167",sun
Sunday,1,5/8/2016,"3,633","2,663",rain
Monday,2,5/9/2016,"5,838","4,283",rain
Tuesday,3,5/10/2016,"6,026","4,336",rain
Wednesday,4,5/11/2016,"5,780","4,226",rain
Thursday,5,5/12/2016,"5,131","3,781",rain
Friday,6,5/13/2016,"3,928","2,845",sun
Saturday,7,5/14/2016,"2,636","1,930",sun
Sunday,1,5/15/2016,"3,278","2,366",sun
Monday,2,5/16/2016,"4,785","3,560",sun
Tuesday,3,5/17/2016,"4,886","3,601",rain
Wednesday,4,5/18/2016,"5,145","3,672",rain
Thursday,5,5/19/2016,"5,849","4,211",rain
Friday,6,5/20/2016,"4,456","3,324",rain
Saturday,7,5/21/2016,"2,960","2,138",sun
Sunday,1,5/22/2016,"3,885","2,860",fog
Monday,2,5/23/2016,"5,857","4,155",sun
Tuesday,3,5/24/2016,"6,162","4,345",sun
Wednesday,4,5/25/2016,"6,014","4,254",sun
Thursday,5,5/26/2016,"5,652","4,119",sun
Friday,6,5/27/2016,"4,793","3,340",sun
Saturday,7,5/28/2016,"2,819","1,995",fog
Sunday,1,5/29/2016,"3,687","2,546",rain
Monday,2,5/30/2016,"4,851","3,399",rain
Tuesday,3,5/31/2016,"5,775","4,216",sun
Wednesday,4,6/1/2016,"5,443","3,962",sun
Thursday,5,6/2/2016,"5,590","3,959",sun
Friday,6,6/3/2016,"4,482","3,164",rain
Saturday,7,6/4/2016,"2,792","1,947",sun
Sunday,1,6/5/2016,"3,371","2,449",rain
Monday,2,6/6/2016,"5,547","3,832",rain
Tuesday,3,6/7/2016,"5,468","3,954",sun
Wednesday,4,6/8/2016,"5,104","3,751",rain
Thursday,5,6/9/2016,"4,728","3,485",sun
Friday,6,6/10/2016,"4,024","2,855",rain
Saturday,7,6/11/2016,"2,350","1,677",rain
Sunday,1,6/12/2016,"3,234","2,196",rain
Monday,2,6/13/2016,"4,948","3,550",rain
Tuesday,3,6/14/2016,"5,247","3,760",rain
Wednesday,4,6/15/2016,"5,003","3,557",rain
Thursday,5,6/16/2016,"4,816","3,482",rain
Friday,6,6/17/2016,"4,208","2,818",sun
Saturday,7,6/18/2016,"2,454","1,668",sun
Sunday,1,6/19/2016,"2,763","1,919",rain
Monday,2,6/20/2016,"4,954","3,522",rain
Tuesday,3,6/21/2016,"4,903","3,470",rain
Wednesday,4,6/22/2016,"4,907","3,464",sun
Thursday,5,6/23/2016,"4,625","3,336",rain
Friday,6,6/24/2016,"3,497","2,482",rain
Saturday,7,6/25/2016,"1,826","1,358",rain
Sunday,1,6/26/2016,"2,307","1,721",fog
Monday,2,6/27/2016,"4,368","3,078",sun
Tuesday,3,6/28/2016,"4,233","3,091",sun
Wednesday,4,6/29/2016,"4,187","2,948",fog
Thursday,5,6/30/2016,"3,811","2,726",fog
Friday,6,7/1/2016,"3,179","2,226",sun
Saturday,7,7/2/2016,"1,615","1,039",sun
Sunday,1,7/3/2016,"1,788","1,307",sun
Monday,2,7/4/2016,"2,959","2,144",sun
Tuesday,3,7/5/2016,"3,947","2,840",sun
Wednesday,4,7/6/2016,"3,841","2,821",sun
Thursday,5,7/7/2016,"3,729","2,700",sun
Friday,6,7/8/2016,"3,324","2,381",sun
Saturday,7,7/9/2016,"1,795","1,305",sun
Sunday,1,7/10/2016,"2,373","1,655",rain
Monday,2,7/11/2016,"4,101","2,855",sun
Tuesday,3,7/12/2016,"4,241","2,960",sun
Wednesday,4,7/13/2016,"4,478","3,189",rain
Thursday,5,7/14/2016,"3,961","2,814",rain
Friday,6,7/15/2016,"3,367","2,325",rain
Saturday,7,7/16/2016,"1,828","1,222",rain
Sunday,1,7/17/2016,"2,344","1,636",rain
Monday,2,7/18/2016,"4,415","3,007",drizzle
Tuesday,3,7/19/2016,"4,403","3,151",rain
Wednesday,4,7/20/2016,"4,244","3,082",rain
Thursday,5,7/21/2016,"4,322","3,077",rain
Friday,6,7/22/2016,"3,456","2,431",sun
Saturday,7,7/23/2016,"2,068","1,407",rain
Sunday,1,7/24/2016,"2,568","1,755",sun
Monday,2,7/25/2016,"4,770","3,320",fog
Tuesday,3,7/26/2016,"4,621","3,277",rain
Wednesday,4,7/27/2016,"4,470","3,164",sun
Thursday,5,7/28/2016,"4,307","3,077",rain
Friday,6,7/29/2016,"3,370","2,366",rain
Saturday,7,7/30/2016,"1,960","1,341",sun
Sunday,1,7/31/2016,"2,412","1,765",rain
Monday,2,8/1/2016,"4,504","3,095",rain
Tuesday,3,8/2/2016,"4,382","3,138",rain
Wednesday,4,8/3/2016,"4,710","3,369",sun
Thursday,5,8/4/2016,"4,324","3,106",sun
Friday,6,8/5/2016,"3,472","2,497",sun
Saturday,7,8/6/2016,"1,909","1,339",sun
Sunday,1,8/7/2016,"2,365","1,688",fog
Monday,2,8/8/2016,"4,460","3,056",sun
Tuesday,3,8/9/2016,"4,479","3,135",sun
Wednesday,4,8/10/2016,"4,510","3,207",sun
Thursday,5,8/11/2016,"4,340","3,111",sun
Friday,6,8/12/2016,"3,508","2,436",rain
Saturday,7,8/13/2016,"2,030","1,420",rain
Sunday,1,8/14/2016,"2,586","1,749",rain
Monday,2,8/15/2016,"4,476","2,970",rain
Tuesday,3,8/16/2016,"3,232","2,299",sun
Wednesday,4,8/17/2016,"4,291","3,106",sun
Thursday,5,8/18/2016,"4,247","2,926",sun
Friday,6,8/19/2016,"3,477","2,539",sun
Saturday,7,8/20/2016,"2,169","1,470",sun
Sunday,1,8/21/2016,"2,430","1,808",sun
Monday,2,8/22/2016,"4,358","3,082",sun
Tuesday,3,8/23/2016,"4,465","3,249",sun
Wednesday,4,8/24/2016,"4,550","3,210",sun
Thursday,5,8/25/2016,"4,147","3,011",rain
Friday,6,8/26/2016,"3,634","2,532",rain
Saturday,7,8/27/2016,"2,014","1,430",sun
Sunday,1,8/28/2016,"2,687","1,910",rain
Monday,2,8/29/2016,"4,376","3,115",rain
Tuesday,3,8/30/2016,"4,318","3,226",sun
Wednesday,4,8/31/2016,"4,441","3,219",rain
Thursday,5,9/1/2016,"4,234","3,116",sun
Friday,6,9/2/2016,"3,027","2,230",snow
Saturday,7,9/3/2016,"1,966","1,376",rain
Sunday,1,9/4/2016,"2,446","1,761",rain
Monday,2,9/5/2016,"3,779","2,643",rain
Tuesday,3,9/6/2016,"4,619","3,341",sun
Wednesday,4,9/7/2016,"4,983","3,584",sun
Thursday,5,9/8/2016,"4,645","3,319",sun
Friday,6,9/9/2016,"3,612","2,630",rain
Saturday,7,9/10/2016,"2,153","1,577",sun
Sunday,1,9/11/2016,"3,089","2,307",sun
Monday,2,9/12/2016,"4,580","3,446",rain
Tuesday,3,9/13/2016,"4,788","3,625",rain
Wednesday,4,9/14/2016,"5,095","3,759",sun
Thursday,5,9/15/2016,"4,668","3,454",rain
Friday,6,9/16/2016,"3,711","2,785",rain
Saturday,7,9/17/2016,"2,523","1,861",fog
Sunday,1,9/18/2016,"3,364","2,547",sun
Monday,2,9/19/2016,"5,513","4,050",rain
Tuesday,3,9/20/2016,"5,362","3,762",rain
Wednesday,4,9/21/2016,"5,402","3,987",rain
Thursday,5,9/22/2016,"5,398","3,996",rain
Friday,6,9/23/2016,"3,783","2,663",rain
Saturday,7,9/24/2016,"2,395","1,797",rain
Sunday,1,9/25/2016,"3,679","2,719",rain
Monday,2,9/26/2016,"5,688","4,325",sun
Tuesday,3,9/27/2016,"5,842","4,382",sun
Wednesday,4,9/28/2016,"5,923","4,458",sun
Thursday,5,9/29/2016,"5,717","4,222",sun
Friday,6,9/30/2016,"4,250","3,176",sun
Saturday,7,10/1/2016,"2,525","1,986",sun
Sunday,1,10/2/2016,"3,923","3,023",sun
Monday,2,10/3/2016,"5,785","4,281",sun
Tuesday,3,10/4/2016,"6,052","4,522",sun
Wednesday,4,10/5/2016,"6,150","4,588",rain
Thursday,5,10/6/2016,"5,591","4,134",fog
Friday,6,10/7/2016,"4,279","3,196",sun
Saturday,7,10/8/2016,"2,897","2,066",sun
Sunday,1,10/9/2016,"3,904","2,873",sun
Monday,2,10/10/2016,"5,458","4,145",sun
Tuesday,3,10/11/2016,"5,909","4,399",rain
Wednesday,4,10/12/2016,"6,175","4,620",rain
Thursday,5,10/13/2016,"5,856","4,422",sun
Friday,6,10/14/2016,"4,610","3,505",rain
Saturday,7,10/15/2016,"3,081","2,269",rain
Sunday,1,10/16/2016,"4,390","3,265",sun
Monday,2,10/17/2016,"6,507","4,917",sun
Tuesday,3,10/18/2016,"6,941","5,103",sun
Wednesday,4,10/19/2016,"6,576","4,776",sun
Thursday,5,10/20/2016,"5,985","4,462",sun
Friday,6,10/21/2016,"4,789","3,497",sun
Saturday,7,10/22/2016,"3,263","2,292",snow
Sunday,1,10/23/2016,"4,180","3,135",rain
Monday,2,10/24/2016,"6,371","4,865",rain
Tuesday,3,10/25/2016,"6,648","4,960",rain
Wednesday,4,10/26/2016,"6,501","4,777",rain
Thursday,5,10/27/2016,"6,088","4,431",rain
Friday,6,10/28/2016,"4,376","3,179",rain
Saturday,7,10/29/2016,"2,733","1,955",rain
Sunday,1,10/30/2016,"3,953","2,921",rain
Monday,2,10/31/2016,"6,108","4,416",rain
Tuesday,3,11/1/2016,"5,668","4,185",rain
Wednesday,4,11/2/2016,"6,159","4,508",rain
Thursday,5,11/3/2016,"5,810","4,241",rain
Friday,6,11/4/2016,"4,491","3,394",rain
Saturday,7,11/5/2016,"3,110","2,263",rain
Sunday,1,11/6/2016,"4,418","3,281",rain
Monday,2,11/7/2016,"6,529","4,488",rain
Tuesday,3,11/8/2016,"5,756","4,251",rain
Wednesday,4,11/9/2016,"5,716","4,102",sun
Thursday,5,11/10/2016,"5,323","4,022",sun
Friday,6,11/11/2016,"4,280","3,085",sun
Saturday,7,11/12/2016,"2,982","2,169",rain
Sunday,1,11/13/2016,"4,365","3,172",rain
Monday,2,11/14/2016,"6,627","4,888",rain
Tuesday,3,11/15/2016,"6,467","4,808",rain
Wednesday,4,11/16/2016,"6,631","4,903",rain
Thursday,5,11/17/2016,"6,378","4,681",rain
Friday,6,11/18/2016,"4,767","3,424",sun
Saturday,7,11/19/2016,"3,501","2,580",rain
Sunday,1,11/20/2016,"4,647","3,426",rain
Monday,2,11/21/2016,"6,336","4,693",rain
Tuesday,3,11/22/2016,"6,222","4,564",fog
Wednesday,4,11/23/2016,"5,527","3,904",fog
Thursday,5,11/24/2016,"4,267","3,197",rain
Friday,6,11/25/2016,"3,733","2,678",rain
Saturday,7,11/26/2016,"3,299","2,394",rain
Sunday,1,11/27/2016,"4,530","3,396",rain
Monday,2,11/28/2016,"6,908","5,047",rain
Tuesday,3,11/29/2016,"7,714","5,338",sun
Wednesday,4,11/30/2016,"7,490","5,425",rain
Thursday,5,12/1/2016,"7,190","5,081",sun
Friday,6,12/2/2016,"5,391","3,977",sun
Saturday,7,12/3/2016,"3,575","2,667",sun
Sunday,1,12/4/2016,"5,285","4,031",sun
Monday,2,12/5/2016,"7,330","5,439",sun
Tuesday,3,12/6/2016,"7,489","5,479",rain
Wednesday,4,12/7/2016,"7,345","5,467",rain
Thursday,5,12/8/2016,"6,679","4,991",rain
Friday,6,12/9/2016,"5,403","3,970",rain
Saturday,7,12/10/2016,"3,573","2,712",rain
Sunday,1,12/11/2016,"4,834","3,515",sun
Monday,2,12/12/2016,"6,905","4,945",sun
Tuesday,3,12/13/2016,"6,743","4,927",sun
Wednesday,4,12/14/2016,"6,201","4,488",sun
Thursday,5,12/15/2016,"5,571","4,071",rain
Friday,6,12/16/2016,"3,872","2,780",sun
Saturday,7,12/17/2016,"2,613","1,884",rain
Sunday,1,12/18/2016,"3,109","2,293",sun
Monday,2,12/19/2016,"4,324","3,145",sun
Tuesday,3,12/20/2016,"4,226","3,064",rain
Wednesday,4,12/21/2016,"3,991","2,914",sun
Thursday,5,12/22/2016,"3,160","2,211",sun
Friday,6,12/23/2016,"2,386","1,626",sun
Saturday,7,12/24/2016,"1,115",825,sun
Sunday,1,12/25/2016,"1,387",930,sun
Monday,2,12/26/2016,"2,147","1,418",sun
Tuesday,3,12/27/2016,"2,686","1,777",rain
Wednesday,4,12/28/2016,"2,885","1,915",rain
Thursday,5,12/29/2016,"2,694","1,837",rain
Friday,6,12/30/2016,"2,273","1,541",sun
Saturday,7,12/31/2016,"1,188",836,rain
Sunday,1,1/1/2017,"1,447","1,039",sun
Monday,2,1/2/2017,"2,568","1,844",rain
Tuesday,3,1/3/2017,"3,566","2,527",rain
Wednesday,4,1/4/2017,"3,941","2,816",rain
Thursday,5,1/5/2017,"3,841","2,625",rain
Friday,6,1/6/2017,"3,261","2,338",sun
Saturday,7,1/7/2017,"2,241","1,523",rain
Sunday,1,1/8/2017,"2,679","1,892",rain
Monday,2,1/9/2017,"4,182","2,841",sun
Tuesday,3,1/10/2017,"4,236","3,039",sun
Wednesday,4,1/11/2017,"4,628","3,206",sun
Thursday,5,1/12/2017,"4,205","3,025",sun
Friday,6,1/13/2017,"3,459","2,508",sun
Saturday,7,1/14/2017,"2,448","1,744",rain
Sunday,1,1/15/2017,"2,853","2,015",rain
Monday,2,1/16/2017,"4,638","3,178",rain
Tuesday,3,1/17/2017,"5,325","3,669",sun
Wednesday,4,1/18/2017,"4,866","3,364",sun
Thursday,5,1/19/2017,"4,715","3,375",rain
Friday,6,1/20/2017,"3,753","2,713",rain
Saturday,7,1/21/2017,"2,481","1,778",rain
Sunday,1,1/22/2017,"3,233","2,401",sun
Monday,2,1/23/2017,"5,034","3,660",sun
Tuesday,3,1/24/2017,"4,787","3,593",sun
Wednesday,4,1/25/2017,"4,901","3,602",sun
Thursday,5,1/26/2017,"4,398","3,266",sun
Friday,6,1/27/2017,"3,823","2,832",sun
Saturday,7,1/28/2017,"2,619","1,901",sun
Sunday,1,1/29/2017,"3,518","2,612",sun
Monday,2,1/30/2017,"5,178","3,826",sun
Tuesday,3,1/31/2017,"5,290","3,876",sun
Wednesday,4,2/1/2017,"5,469","4,116",sun
Thursday,5,2/2/2017,"5,399","4,028",sun
Friday,6,2/3/2017,"4,232","3,012",rain
Saturday,7,2/4/2017,"2,828","2,084",sun
Sunday,1,2/5/2017,"3,724","2,783",rain
Monday,2,2/6/2017,"5,733","4,249",sun
Tuesday,3,2/7/2017,"5,814","4,284",sun
Wednesday,4,2/8/2017,"5,349","4,006",sun
Thursday,5,2/9/2017,"5,025","3,681",sun
Friday,6,2/10/2017,"4,044","2,922",sun
Saturday,7,2/11/2017,"2,323","1,731",sun
Sunday,1,2/12/2017,"3,147","2,469",sun
Monday,2,2/13/2017,"4,972","3,719",sun
Tuesday,3,2/14/2017,"4,878","3,582",sun
Wednesday,4,2/15/2017,"5,288","3,786",sun
Thursday,5,2/16/2017,"4,968","3,668",sun
Friday,6,2/17/2017,"3,788","2,748",sun
Saturday,7,2/18/2017,"2,514","1,839",sun
Sunday,1,2/19/2017,"3,463","2,602",sun
Monday,2,2/20/2017,"4,931","3,700",sun
Tuesday,3,2/21/2017,"5,101","3,873",sun
Wednesday,4,2/22/2017,"5,144","3,727",sun
Thursday,5,2/23/2017,"4,433","3,372",rain
Friday,6,2/24/2017,"3,597","2,648",rain
Saturday,7,2/25/2017,"2,621","1,826",sun
Sunday,1,2/26/2017,"3,397","2,494",rain
Monday,2,2/27/2017,"5,062","3,812",rain
Tuesday,3,2/28/2017,"4,926","3,678",rain
Wednesday,4,3/1/2017,"4,936","3,558",sun
Thursday,5,3/2/2017,"4,688","3,441",rain
Friday,6,3/3/2017,"3,827","2,699",rain
Saturday,7,3/4/2017,"2,452","1,754",sun
Sunday,1,3/5/2017,"3,283","2,394",sun
Monday,2,3/6/2017,"4,823","3,481",sun
Tuesday,3,3/7/2017,"4,821","3,662",sun
Wednesday,4,3/8/2017,"5,059","3,613",sun
Thursday,5,3/9/2017,"4,585","3,444",sun
Friday,6,3/10/2017,"3,682","2,733",rain
Saturday,7,3/11/2017,"2,350","1,714",rain
Sunday,1,3/12/2017,"3,056","2,189",sun
Monday,2,3/13/2017,"4,746","3,367",sun
Tuesday,3,3/14/2017,"4,613","3,465",sun
Wednesday,4,3/15/2017,"4,560","3,441",sun
Thursday,5,3/16/2017,"4,520","3,304",sun
Friday,6,3/17/2017,"3,346","2,433",sun
Saturday,7,3/18/2017,"2,253","1,649",fog
Sunday,1,3/19/2017,"2,927","2,267",sun
Monday,2,3/20/2017,"4,878","3,463",fog
Tuesday,3,3/21/2017,"4,852","3,481",sun
Wednesday,4,3/22/2017,"4,585","3,430",sun
Thursday,5,3/23/2017,"4,477","3,260",fog
Friday,6,3/24/2017,"3,654","2,566",sun
Saturday,7,3/25/2017,"2,411","1,760",sun
Sunday,1,3/26/2017,"3,054","2,336",sun
Monday,2,3/27/2017,"4,696","3,479",sun
Tuesday,3,3/28/2017,"5,033","3,633",sun
Wednesday,4,3/29/2017,"4,948","3,530",sun
Thursday,5,3/30/2017,"4,636","3,390",sun
Friday,6,3/31/2017,"3,539","2,636",sun
Saturday,7,4/1/2017,"2,371","1,678",fog
Sunday,1,4/2/2017,"2,816","2,159",sun
Monday,2,4/3/2017,"4,493","3,356",sun
Tuesday,3,4/4/2017,"4,678","3,486",rain
Wednesday,4,4/5/2017,"4,737","3,484",rain
Thursday,5,4/6/2017,"4,775","3,514",sun
Friday,6,4/7/2017,"3,658","2,725",sun
Saturday,7,4/8/2017,"2,260","1,664",sun
Sunday,1,4/9/2017,"3,343","2,433",sun
Monday,2,4/10/2017,"4,640","3,440",sun
Tuesday,3,4/11/2017,"4,694","3,532",sun
Wednesday,4,4/12/2017,"4,771","3,517",sun
Thursday,5,4/13/2017,"4,173","3,017",sun
Friday,6,4/14/2017,"3,046","2,238",sun
Saturday,7,4/15/2017,"2,260","1,701",rain
Sunday,1,4/16/2017,"2,876","2,143",sun
Monday,2,4/17/2017,"4,774","3,402",sun
Tuesday,3,4/18/2017,"5,009","3,702",sun
Wednesday,4,4/19/2017,"5,369","3,852",fog
Thursday,5,4/20/2017,"5,020","3,669",fog
Friday,6,4/21/2017,"3,935","2,802",sun
Saturday,7,4/22/2017,"2,795","2,049",sun
Sunday,1,4/23/2017,"3,795","2,827",sun
Monday,2,4/24/2017,"5,489","4,083",rain
Tuesday,3,4/25/2017,"5,680","4,108",rain
Wednesday,4,4/26/2017,"5,383","3,940",rain
Thursday,5,4/27/2017,"4,890","3,695",sun
Friday,6,4/28/2017,"3,872","2,887",rain
Saturday,7,4/29/2017,"2,790","1,987",sun
Sunday,1,4/30/2017,"3,524","2,616",sun
Monday,2,5/1/2017,"4,903","3,551",sun
Tuesday,3,5/2/2017,"5,160","3,802",sun
Wednesday,4,5/3/2017,"5,194","3,766",sun
Thursday,5,5/4/2017,"5,142","3,755",sun
Friday,6,5/5/2017,"3,836","2,925",sun
Saturday,7,5/6/2017,"2,737","1,981",sun
Sunday,1,5/7/2017,"3,386","2,534",sun
Monday,2,5/8/2017,"4,816","3,585",sun
Tuesday,3,5/9/2017,"4,734","3,458",sun
Wednesday,4,5/10/2017,"4,761","3,475",sun
Thursday,5,5/11/2017,"4,277","3,224",sun
Friday,6,5/12/2017,"3,563","2,620",sun
Saturday,7,5/13/2017,"2,401","1,749",rain
Sunday,1,5/14/2017,"2,877","2,126",rain
Monday,2,5/15/2017,"4,448","3,191",sun
Tuesday,3,5/16/2017,"4,525","3,226",rain
Wednesday,4,5/17/2017,"4,533","3,318",sun
Thursday,5,5/18/2017,"4,431","3,307",fog
Friday,6,5/19/2017,"3,456","2,470",fog
Saturday,7,5/20/2017,"2,162","1,651",sun
Sunday,1,5/21/2017,"2,786","1,971",sun
Monday,2,5/22/2017,"4,172","3,041",sun
Tuesday,3,5/23/2017,"4,255","3,077",sun
Wednesday,4,5/24/2017,"4,154","2,996",sun
Thursday,5,5/25/2017,"3,803","2,839",sun
Friday,6,5/26/2017,"2,950","2,183",sun
Saturday,7,5/27/2017,"1,909","1,444",sun
Sunday,1,5/28/2017,"2,506","1,781",sun
Monday,2,5/29/2017,"3,325","2,457",sun
Tuesday,3,5/30/2017,"4,086","2,909",sun
Wednesday,4,5/31/2017,"3,716","2,667",rain
Thursday,5,6/1/2017,"3,702","2,639",rain
Friday,6,6/2/2017,"2,959","2,171",sun
Saturday,7,6/3/2017,"2,006","1,471",fog
Sunday,1,6/4/2017,"2,479","1,795",sun
Monday,2,6/5/2017,"3,501","2,610",rain
Tuesday,3,6/6/2017,"3,985","2,922",rain
Wednesday,4,6/7/2017,"3,920","2,913",rain
Thursday,5,6/8/2017,"3,868","2,796",rain
Friday,6,6/9/2017,"2,921","2,101",rain
Saturday,7,6/10/2017,"1,655","1,244",fog
Sunday,1,6/11/2017,"2,229","1,622",fog
Monday,2,6/12/2017,"3,660","2,598",rain
Tuesday,3,6/13/2017,"3,898","2,809",sun
Wednesday,4,6/14/2017,"3,912","2,797",sun
Thursday,5,6/15/2017,"3,604","2,624",sun
Friday,6,6/16/2017,"2,970","2,105",sun
Saturday,7,6/17/2017,"1,546","1,187",sun
Sunday,1,6/18/2017,"1,944","1,465",fog
Monday,2,6/19/2017,"3,608","2,493",fog
Tuesday,3,6/20/2017,"3,514","2,472",fog
Wednesday,4,6/21/2017,"3,344","2,475",fog
Thursday,5,6/22/2017,"3,292","2,351",fog
Friday,6,6/23/2017,"2,469","1,850",rain
Saturday,7,6/24/2017,"1,296",925,rain
Sunday,1,6/25/2017,"1,546","1,071",sun
Monday,2,6/26/2017,"2,948","1,998",rain
Tuesday,3,6/27/2017,"3,077","2,190",rain
Wednesday,4,6/28/2017,"3,028","2,145",rain
Thursday,5,6/29/2017,"2,738","1,976",sun
Friday,6,6/30/2017,"2,147","1,478",rain
Saturday,7,7/1/2017,"1,277",903,rain
Sunday,1,7/2/2017,"1,606","1,142",sun
Monday,2,7/3/2017,"2,504","1,726",rain
Tuesday,3,7/4/2017,"2,218","1,566",rain
Wednesday,4,7/5/2017,"3,024","2,149",rain
Thursday,5,7/6/2017,"2,951","2,047",rain
Friday,6,7/7/2017,"2,401","1,693",rain
Saturday,7,7/8/2017,"1,242",891,rain
Sunday,1,7/9/2017,"1,511","1,172",rain
Monday,2,7/10/2017,"2,934","2,062",rain
Tuesday,3,7/11/2017,"3,003","2,140",rain
Wednesday,4,7/12/2017,"3,073","2,192",rain
Thursday,5,7/13/2017,"2,933","2,043",rain
Friday,6,7/14/2017,"2,468","1,710",rain
Saturday,7,7/15/2017,"1,355",892,fog
Sunday,1,7/16/2017,"1,553","1,122",rain
Monday,2,7/17/2017,"2,902","1,954",rain
Tuesday,3,7/18/2017,"2,899","2,109",rain
Wednesday,4,7/19/2017,"2,986","2,032",rain
Thursday,5,7/20/2017,"2,964","2,031",rain
Friday,6,7/21/2017,"2,433","1,609",sun
Saturday,7,7/22/2017,"1,280",923,fog
Sunday,1,7/23/2017,"1,603","1,170",rain
Monday,2,7/24/2017,"3,154","2,214",sun
Tuesday,3,7/25/2017,"3,084","2,148",sun
Wednesday,4,7/26/2017,"2,983","1,925",sun
Thursday,5,7/27/2017,"2,849","1,908",sun
Friday,6,7/28/2017,"2,420","1,538",sun
Saturday,7,7/29/2017,"1,300",895,sun
Sunday,1,7/30/2017,"1,526","1,112",sun
Monday,2,7/31/2017,"2,872","1,978",sun
Tuesday,3,8/1/2017,"2,914","1,957",sun
Wednesday,4,8/2/2017,"2,843","1,994",sun
Thursday,5,8/3/2017,"2,649","1,894",rain
Friday,6,8/4/2017,"2,042","1,478",rain
Saturday,7,8/5/2017,"1,225",901,rain
Sunday,1,8/6/2017,"1,562","1,045",rain
Monday,2,8/7/2017,"2,751","1,823",rain
Tuesday,3,8/8/2017,"2,634","1,868",rain
Wednesday,4,8/9/2017,"2,704","1,961",rain
Thursday,5,8/10/2017,"2,670","1,864",rain
Friday,6,8/11/2017,"2,073","1,498",rain
Saturday,7,8/12/2017,"1,240",888,snow
Sunday,1,8/13/2017,"1,530","1,076",sun
Monday,2,8/14/2017,"2,392","1,704",sun
Tuesday,3,8/15/2017,"2,675","1,846",fog
Wednesday,4,8/16/2017,"2,755","1,911",sun
Thursday,5,8/17/2017,"2,608","1,824",rain
Friday,6,8/18/2017,"2,163","1,521",rain
Saturday,7,8/19/2017,"1,304",951,rain
